App.,Taxon,Term,Unit,Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
I,Acinonyx jubatus,skins,Number of specimens,ZM,,,,,,,,,,,,,,,,,,,,,,,2,,
I,Acinonyx jubatus,skins,,AE,,,2,,,,,,,,,,1,1,,,,,,,,,,,
I,Acinonyx jubatus,skins,,AO,,,,,,1,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,skins,,AT,,,,,,1,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,skins,,AU,,2,,,2,,,,,,,,,,1,2,,,,,,,,,
I,Acinonyx jubatus,skins,,BE,,,,,,,,,3,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,skins,,CA,,,,,,1,,,,,,,,,,3,,,,,,,,,
I,Acinonyx jubatus,skins,,CD,,,,,,2,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,skins,,CH,,,,2,,1,,,3,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,skins,,CZ,2,,,,,,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,skins,,DE,2,,,,,,,,1,,,,,,,,,1,1,,,,,,
I,Acinonyx jubatus,skins,,GB,,,,,,2,1,,2,,,,1,,1,,,,,,,,,,
I,Acinonyx jubatus,skins,,HK,146,,11,,,,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,skins,,IE,,,,,,,,,,,,1,1,,,,,,1,,,,,,
I,Acinonyx jubatus,skins,,IL,,,,,,,,,,,,,,,,1,,,,,,,,,
I,Acinonyx jubatus,skins,,KE,1,,,,,,,,,,,,,,,,2,,,,,,,,
I,Acinonyx jubatus,skins,,KW,,,,,,,,,3,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,skins,,MX,,,1,,,,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,skins,,NA,26,34,49,17,8,10,11,9,9,11,3,5,3,4,4,7,10,3,1,1,,,,,
I,Acinonyx jubatus,skins,,NG,,2,,,,,,,,2,,,,,,,,,,,,,,,
I,Acinonyx jubatus,skins,,NO,,,,,,,,,,,,,,,,,,,,1,,,,,
I,Acinonyx jubatus,skins,,NZ,,,,1,,1,,,,1,,,,,,,,,,,,,,,
I,Acinonyx jubatus,skins,,QA,,,,,,,,,,,,,,,,,,,,6,,,,,
I,Acinonyx jubatus,skins,,SD,,1,,,,,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,skins,,SZ,,,,,,,,,,,,,,,,,,,,1,,,,,
I,Acinonyx jubatus,skins,,US,,,,,,,,,,,,,,1,,,,,1,,,,,,
I,Acinonyx jubatus,skins,,XX,1,,,,,,,,,,,,,,5,,,,,,,,,,
I,Acinonyx jubatus,skins,,ZA,2,4,3,2,2,1,2,1,4,3,4,1,2,1,6,1,3,,,,,,,,
I,Acinonyx jubatus,skins,,ZM,,,,1,,,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,skins,,ZW,3,2,4,1,1,,3,,3,2,,,1,1,,,1,,,,,,,,
I,Acinonyx jubatus,skulls,Number of specimens,NA,,,,,,,,,,,,,,,,,,,,,,1,2,,
I,Acinonyx jubatus,skulls,,AT,,,,,,1,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,skulls,,BE,,,,,,,,,,,,,,,,,,,1,,,,,,
I,Acinonyx jubatus,skulls,,BW,1,,,,,,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,skulls,,CH,,,,1,,,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,skulls,,GB,,,,,,,,,,,,,,,,,,,,1,,,,,
I,Acinonyx jubatus,skulls,,NA,22,37,38,9,8,6,5,4,5,7,2,1,7,4,4,8,7,3,,,,,,,
I,Acinonyx jubatus,skulls,,QA,,,,,,,,,,,,,,,,,,,,6,,,,,
I,Acinonyx jubatus,skulls,,ZA,4,,1,,,,1,2,1,2,2,1,1,2,7,3,3,2,,,,,,,
I,Acinonyx jubatus,skulls,,ZW,3,1,,1,1,,4,,3,2,1,,1,1,,1,1,,,,,,,,
I,Acinonyx jubatus,specimens,flasks,NA,173,,,,277,230,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,specimens,g,AU,,,,,,,,,,,,,,,0.3,,,,,,,,,,
I,Acinonyx jubatus,specimens,g,NA,,,1200,,,,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,specimens,g,ZM,,,,,,,,,,,,,,5,,,,,,,,,,,
I,Acinonyx jubatus,specimens,kg,FR,,,,,,2,,7,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,specimens,kg,NA,,,,,,,,,,,,,,,,,,,,,0.3,,,,
I,Acinonyx jubatus,specimens,l,AE,,,,,,,,,,,,0.3,,,,,,,,,,,,,
I,Acinonyx jubatus,specimens,l,NA,,,,,,,,,,,,,0.312,,,,,,,,,,,,
I,Acinonyx jubatus,specimens,ml,AE,,,,,,,3,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,specimens,ml,BJ,,,,,,,,,,,,,,,,,,,,,,,16,48,
I,Acinonyx jubatus,specimens,ml,BW,,,,,,,,,,,,200,,,,,,,,,,,,,
I,Acinonyx jubatus,specimens,ml,CA,,100,,,,,,,,,4,20.5,10.5,25.75,52.5,,,,,,,,,,
I,Acinonyx jubatus,specimens,ml,NA,,,,,,,,,,,36,74,372,,,,,,100,,,,,,
I,Acinonyx jubatus,specimens,ml,US,,,,,,,,,,,,,9,,,,,,,,,,,9,
I,Acinonyx jubatus,specimens,ml,XX,,,,,,,3,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,specimens,ml,ZA,,,6,,,,,,,,,,,,,,,,1,,,,,,
I,Acinonyx jubatus,specimens,ml,ZM,,,,,,,,,,,,,,22,,,,,,,,,,,
I,Acinonyx jubatus,specimens,Number of specimens,AU,,,,,,,,,,,,,,,,,,,,,,,1,,
I,Acinonyx jubatus,specimens,Number of specimens,DE,,,,,,,,,,,,,,,,,,,,,,,45,,
I,Acinonyx jubatus,specimens,Number of specimens,GB,,,,,,,,,,,,,,,,,,,,,2,,,,
I,Acinonyx jubatus,specimens,Number of specimens,KE,,,,,,,,,,,,,,,,,,,,100,,,,,
I,Acinonyx jubatus,specimens,Number of specimens,NA,,,,,,,,,,,,,,,,,,,,,,2020,,210,
I,Acinonyx jubatus,specimens,Number of specimens,SO,,,,,,,,,,,,,,,,,,,,,,3.5,4,3.5,
I,Acinonyx jubatus,specimens,Number of specimens,US,,,,,,,,,,,,,,,,,,,,,,,,3,
I,Acinonyx jubatus,specimens,Number of specimens,ZM,,,,,,,,,,,,,,,,,,,,,,,,1,
I,Acinonyx jubatus,specimens,,AE,,,134,540,,1,,50,10,4,669,80,,124,98,,,,,,,,,,
I,Acinonyx jubatus,specimens,,AT,,,,,,,,,,,,,,1,,,,,,,,,,,
I,Acinonyx jubatus,specimens,,AU,,,,,,14,,,,,,,,,,,,,,,1520,,,,
I,Acinonyx jubatus,specimens,,BE,,,,,,,,,,52,,,,,,1,,,,,,,,,
I,Acinonyx jubatus,specimens,,BJ,,,,,,,,,,,,,,,,,,,,,,,10,,
I,Acinonyx jubatus,specimens,,BR,,,,,20,,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,specimens,,BW,,,,,,,,,,,30,,,,,,,,,18,,,,,
I,Acinonyx jubatus,specimens,,CA,,,,,,,,,,,,,,,1,,,,,,,,,,
I,Acinonyx jubatus,specimens,,CH,,,,,260,505,,,,,600,,,,,,1,,,,,,,,
I,Acinonyx jubatus,specimens,,CN,,,,,,,,,,,1,,,,,,,,,,,,,,
I,Acinonyx jubatus,specimens,,DE,,,,1060,165,,,,,600,,,,,,,,,,,,,,,
I,Acinonyx jubatus,specimens,,DK,,,,,,,,,,,,,,,,,,,10,,2,1,,,
I,Acinonyx jubatus,specimens,,FR,,,,,,,,,,20,,,,,,,,,,,,,,,
I,Acinonyx jubatus,specimens,,GB,,,,,,,,,15,,,,,,,,,,,15,,,,,
I,Acinonyx jubatus,specimens,,IE,,,2,,,,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,specimens,,KE,,,,30,15,16,,,,,5,,,,,,,,,,,,,,
I,Acinonyx jubatus,specimens,,NA,173,400,3233,4226,3880,700,3383,2057,3311,1558,1071,182,8425,588,4242,3502,1400,,142,3330,,,,,
I,Acinonyx jubatus,specimens,,NE,,,,1,,,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,specimens,,NZ,,,,,,,,11,11,,,,,1,,,,,,,,,,,
I,Acinonyx jubatus,specimens,,TH,,,,,,,,,,,1,1,,,,,,,,,,,,,
I,Acinonyx jubatus,specimens,,TZ,,,,5,13,,,,5,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,specimens,,US,,,,,,,,,,,12,,5,19,12,48,49,,,,241,,,,
I,Acinonyx jubatus,specimens,,YE,,,,,,,,,,,,,,3,,,,,,,,,,,
I,Acinonyx jubatus,specimens,,ZA,100,100,3,,,3,1,56,3,,4,,49,,3,,,6,,14,,,,,
I,Acinonyx jubatus,specimens,,ZM,,,,,,,,,,,,,,,,,25,,13,13,,,,,
I,Acinonyx jubatus,specimens,,ZW,,,,,,1,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,teeth,,NA,,,40,10,,,9,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,teeth,,SG,,,,,,,,,,,,,,,,,1,,,,,,,,
I,Acinonyx jubatus,teeth,,ZA,,,,,,,,,,,,,,,,,2,,,,,,,,
I,Acinonyx jubatus,trophies,Number of specimens,CG,,,,,,,,,,,,,,,,,,,,,,1,,,
I,Acinonyx jubatus,trophies,Number of specimens,FR,,,,,,,,,,,,,,,,,,,,1,,,,,
I,Acinonyx jubatus,trophies,Number of specimens,NA,,,,,,,,,,,,,,,,,,,,1,44,39,76,68,
I,Acinonyx jubatus,trophies,Number of specimens,ZW,,,,,,,,,,,,,,,,,,,,,,,1,,
I,Acinonyx jubatus,trophies,,AE,,,,,,,,,,,,,4,,,,,,,,,,,,
I,Acinonyx jubatus,trophies,,AT,,,,,,2,,,,,,,3,,,,,,,,,,,,
I,Acinonyx jubatus,trophies,,CD,,,,1,,,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,trophies,,CH,,,,2,,,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,trophies,,DE,2,,1,,,1,,,,,,,,1,,,,1,,,,,,,
I,Acinonyx jubatus,trophies,,DK,,,,,,,,,,,,,,,,,,1,,,,,,,
I,Acinonyx jubatus,trophies,,FI,,,,,,,,,,,,,,,,2,1,1,,,,,,,
I,Acinonyx jubatus,trophies,,FR,,,,,,,,,,,,,,,1,1,,,1,,,,,,
I,Acinonyx jubatus,trophies,,GB,,,,,,,,,1,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,trophies,,HU,,,,,,,,,,,,,,,,,,,,1,1,,,,
I,Acinonyx jubatus,trophies,,LS,,,,,,,,,,,,,2,,2,,,,,,,,,,
I,Acinonyx jubatus,trophies,,LY,,,2,,,,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,trophies,,NA,59,103,107,96,94,108,111,96,192,190,66,53,108,81,99,99,103,90,102,101,32,17,19,17,
I,Acinonyx jubatus,trophies,,RU,,,,,,,,,,,,,,,,,1,,,,,,,,
I,Acinonyx jubatus,trophies,,XX,,,,,,,,,,,,,,,1,1,,,1,,,,,,
I,Acinonyx jubatus,trophies,,ZA,4,2,4,3,6,4,2,3,11,9,12,3,4,12,23,1,4,5,11,7,2,5,2,,
I,Acinonyx jubatus,trophies,,ZM,,,1,,,,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,trophies,,ZW,8,7,15,17,6,6,6,9,10,2,5,5,2,1,2,,1,,,,,,,,
I,Caracal caracal,bodies,,ZA,,,,,,,,,,,10,,,,,,,,,,,,,,
I,Caracal caracal,claws,,AE,,,,,,,,,,,2,,,,,,1,,,,,,,,
I,Caracal caracal,claws,,JO,,,,,,,,,,,,,,,,,,1,,,,,,,
I,Caracal caracal,leather products (small),,AE,,,,,,,,,,,,,,,,1,,,,,,,,,
I,Caracal caracal,live,Number of specimens,BH,,,,,,,,,,,,,,,,,,,,,,,2,,
I,Caracal caracal,live,Number of specimens,CZ,,,,,,,,,,,,,,,,,,,,,,,2,,
I,Caracal caracal,live,Number of specimens,ES,,,,,,,,,,,,,,,,,,,,,,,1,2,
I,Caracal caracal,live,Number of specimens,ZA,,,,,,,,,,,,,,,,,,,,,,,,22,
I,Caracal caracal,live,,AE,,,,,,,,,,,,,2,,,,,,,,,,2,,
I,Caracal caracal,live,,AT,,,,,,,,,,,,,,,,,,,,,4,,,,
I,Caracal caracal,live,,BE,,,,,,,,2,,,,,,,,,,,,,,,,,
I,Caracal caracal,live,,BH,,,,,,,,,,,,,,,,2,,2,,,,,,,
I,Caracal caracal,live,,CZ,,,2,,,,,,,,,,,,,,,,,,,,,,
I,Caracal caracal,live,,FR,,,1,1,,,,,,,,,,,,,,,,,,,,,
I,Caracal caracal,live,,KZ,,,,,,,,,,,,,,,,,,,,,,,1,,
I,Caracal caracal,live,,PL,,,,,,,,,,,1,,,,,,,,,,,,,,
I,Caracal caracal,live,,RU,1,,,,1,,,,,,,,,,,,,,,,2,,,,
I,Caracal caracal,live,,SY,,,,,,,,,,,,,,,,,2,,2,,2,,,,
I,Caracal caracal,live,,UZ,,,,,1,,,,,,,,,,,,,,,,,,,,
I,Caracal caracal,live,,YE,,,,,,,,,,2,,,,,,,,,,,,,,,
I,Caracal caracal,live,,ZA,,,,,,,,,,,5,,,,,,,,,,,,,,
I,Caracal caracal,skins,,GB,,1,,,,,,,,,,,,,,,,,,,,,,,
I,Caracal caracal,skins,,ZA,,,,,1,,,,,,6,,,,,,,,,,,,,,
