App.,Taxon,Term,Unit,Country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
I,Acinonyx jubatus,live,,ZM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,live,,ZW,,,,,2,,,,7,,,,,,4,,,1,,3,,,,,,2,,1,,2,,,,,,,,4,,,,,,,,,,,,
I,Acinonyx jubatus,specimens,flasks,NA,,,,,,,,,,,,,,,,,,,,,,,,,,173,,,,277,230,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,specimens,flasks,XX,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,specimens,g,AU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,
I,Acinonyx jubatus,specimens,g,KE,,,,,,,,,,,,,,,,,,,,,,,,599,,,,,,,,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,specimens,g,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,,,,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,specimens,g,ZM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,
I,Acinonyx jubatus,specimens,kg,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,7,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,specimens,kg,NA,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,
I,Acinonyx jubatus,specimens,l,AE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,
I,Acinonyx jubatus,specimens,l,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.312,,,,,,,,,,,,
I,Acinonyx jubatus,specimens,ml,AE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,specimens,ml,BJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,48,
I,Acinonyx jubatus,specimens,ml,BW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,
I,Acinonyx jubatus,specimens,ml,CA,,,,,,,,,,,,,,,,,102.3,,,,,,,,,,100,,,,,,,,,4,20.5,10.5,25.75,52.5,,,,,,,,,,
I,Acinonyx jubatus,specimens,ml,NA,,,,,,,,,,,,,,,,,,,,,,,100,350,,,,,,,,,,,,36,74,372,,,,,,100,,,,,,
I,Acinonyx jubatus,specimens,ml,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,9,
I,Acinonyx jubatus,specimens,ml,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,specimens,ml,ZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,1,,,,,,
